Image filename,Energy mapping algorithm,Number of matches,New dimension size,Matching/New Size 
amalfi.jpg,Sobel,4520,499,906%
amalfi.jpg,Prewitt,4512,499,904%
amalfi.jpg,Laplacian,4442,499,890%
amalfi.jpg,Roberts,4483,499,898%
amalfi.jpg,Canny,4451,499,892%
amalfi.jpg,Forward_energy,4457,499,893%
camping.jpg,Sobel,573,416,138%
camping.jpg,Prewitt,578,416,139%
camping.jpg,Laplacian,514,416,124%
camping.jpg,Roberts,564,416,136%
camping.jpg,Canny,609,416,146%
camping.jpg,Forward_energy,564,416,136%
tower.jpg,Sobel,1210,790,153%
tower.jpg,Prewitt,1209,790,153%
tower.jpg,Laplacian,1191,790,151%
tower.jpg,Roberts,1192,790,151%
tower.jpg,Canny,1270,790,161%
tower.jpg,Forward_energy,1226,790,155%
